Reporting_Date,Region,Field_Office_ID,Field_Office_Name,lon,lat,Slots,ACM,ITC,FRS,Total,Field_Office_Name_raw
2020-01-31,Europe,2,KAISERSLAUTERN,7.749126,49.440066,170,11,13,7,201,KAISERSLAUTERN
2020-01-31,Europe,4,VICENZA,11.535421,45.545479,73,5,5,3,86,VICENZA
2020-01-31,Europe,10,GARMISCH,11.095498,47.491695,23,2,2,1,28,GARMISCH
2020-01-31,Europe,31,ANSBACH,10.571936,49.300425,36,2,4,2,44,ANSBACH
2020-01-31,Europe,39,SOUDA BAY,24.153585,35.537632,24,2,2,1,29,SOUDA BAY
2020-01-31,Europe,40,SIGONELLA,14.922222,37.401667,40,3,3,2,48,SIGONELLA
2020-01-31,Europe,42,NAPLES,14.268124,40.851775,47,2,4,2,55,NAPLES
2020-01-31,Europe,43,ROTA,-6.3629809999999996,36.62629,57,4,5,4,70,ROTA
2020-01-31,Europe,45,STUTTGART,9.181759,48.775418,98,4,4,3,109,STUTTGART
2020-01-31,Europe,46,VILSECK,11.806215,49.610007,119,8,9,5,141,VILSECK
2020-01-31,Europe,47,WIESBADEN,8.243344,50.06308,96,6,5,3,110,WIESBADEN
2020-01-31,Japan,17,SINGAPORE,103.85095,1.280095,15,1,2,1,19,SINGAPORE
2020-01-31,Japan,18,YOKOSUKA,139.6722,35.281341,114,6,12,6,138,YOKOSUKA
2020-01-31,Japan,19,SASEBO,129.71511,33.179915,71,3,6,3,83,SASEBO
2020-01-31,Japan,22,ZAMA,139.40767,35.488587,135,7,9,7,158,ZAMA
2020-01-31,Japan,26,OKINAWA,127.68093,26.212401,357,18,23,13,411,OKINAWA
2020-01-31,Japan,27,IWAKUNI,132.21885,34.166562,61,3,4,2,70,IWAKUNI
2020-01-31,Korea,20,SEOUL,126.97797,37.566535,124,6,7,3,140,SEOUL
2020-01-31,Korea,21,DAEGU,128.60145,35.871435,117,6,12,6,141,DAEGU
2020-01-31,Korea,23,UIJEONGBU,127.03368,37.738098,72,6,5,4,87,UIJEONGBU
