Country,FO#,LOC,SVC,NOV,AIN,IGT,WMS,BAL,KON,ITE,Tot/EGMs,FRS,DIE,COU,ACM,ITC,Total,Month,Year,Region,latitude,longitude
IRISH PUB,2,194,,14,4,10,-,10,4,-,42,1,2,-,,3,48,1,2020,Europe,,
LCCC,2,195,,10,3,5,3,7,2,-,30,1,2,-,,2,35,1,2020,Europe,,
KAZABRA,2,196,,6,-,4,-,-,2,-,12,1,1,-,,1,15,1,2020,Europe,,
STRIKERS,2,218,,11,4,7,2,6,3,-,33,1,2,-,,2,38,1,2020,Europe,,
THE GOLD MINE,2,1038,,8,4,4,3,3,-,-,22,1,2,-,,2,27,1,2020,Europe,,
ROB JAVA CAFE,2,2887,,6,-,3,1,1,1,-,12,1,1,-,,1,15,1,2020,Europe,,
SEMBACH C/C,2,3072,,9,-,2,-,5,3,-,19,1,1,-,,2,23,1,2020,Europe,49.511398,7.864983
KAISERSLAUTERN,0,0,,64,15,35,9,32,15,-,170,7,11,-,,13,201,1,2020,Europe,,
,0,0,,,,,,,,0,,,,,,0,,1,2020,Europe,,
LIVORNO COMM CLUB,4,330,,3,3,-,4,3,-,3,16,1,2,-,,2,21,1,2020,Europe,43.548473,10.310567
THE ARENA B/C,4,2895,,13,5,6,3,10,4,-,41,1,2,-,,2,46,1,2020,Europe,,
DEL DIN C/C,4,3132,,4,-,6,1,5,-,-,16,1,1,-,,1,19,1,2020,Europe,,
VICENZA,0,0,,20,8,12,8,18,4,3,73,3,5,-,,5,86,1,2020,Europe,45.545479,11.535421
EDELWEISS LODGE & RESORT,10,2489,,4,4,4,-,8,-,3,23,1,2,-,,2,28,1,2020,Europe,,
GARMISCH,0,0,,4,4,4,-,8,-,3,23,1,2,-,,2,28,1,2020,Europe,47.491695,11.095498
,0,0,,,,,,,,0,,,,,,0,,1,2020,Europe,,
ACTION LANES,31,437,,7,-,2,2,7,2,-,20,1,1,-,,2,24,1,2020,Europe,,
STORCK BRK B/C,31,438,,6,-,3,2,3,2,-,16,1,1,-,,2,20,1,2020,Europe,,
ANSBACH,0,0,,13,-,5,4,10,4,-,36,2,2,-,,4,44,1,2020,Europe,49.300425,10.571936
,0,0,,,,,,,,0,24,1,2,-,,2,29,1,2020,Europe,,
GRAFFITI'S,39,2618,,21,-,3,-,-,-,-,,,,,,0,,1,2020,Europe,,
SOUDA BAY,0,0,,21,-,3,-,-,-,-,24,1,2,-,,2,29,1,2020,Europe,,
,0,0,,,,,,,,0,,,,,,0,,1,2020,Europe,,
SIG B/C,40,2595,,8,2,5,4,2,-,-,21,1,1,-,,1,24,1,2020,Europe,,
JOX SPORTS BAR,40,2597,,10,2,2,2,3,-,-,19,1,2,-,,2,24,1,2020,Europe,,
SIGONELLA,0,0,,18,4,7,6,5,-,-,40,2,3,-,,3,48,1,2020,Europe,,
,0,0,,,,,,,,0,,,,,,0,,1,2020,Europe,,
CAPO OLDE TOWN SLOTS,42,2588,,10,-,6,2,2,2,-,22,1,1,-,,2,26,1,2020,Europe,,
NAPLES B/C,42,2591,,8,3,3,2,4,5,-,25,1,1,-,,2,29,1,2020,Europe,40.851775,14.268124
NAPLES,0,0,,18,3,9,4,6,7,-,47,2,2,-,,4,55,1,2020,Europe,40.851775,14.268124
,0,0,,,,,,,,0,,,,,,0,,1,2020,Europe,,
LA PLAZA,43,2600,,13,4,2,-,6,4,-,29,1,1,-,,2,33,1,2020,Europe,,
ROTA LANES,43,2601,,3,-,3,1,5,1,-,13,1,1,-,,1,16,1,2020,Europe,36.62629,-6.362981
ROTA FLEET CTR,43,2605,,2,-,2,1,-,-,-,5,1,1,-,,1,8,1,2020,Europe,36.62629,-6.362981
BOQ,43,2890,,4,-,3,-,2,1,-,10,1,1,-,,1,13,1,2020,Europe,,
ROTA,0,0,,22,4,10,2,13,6,-,57,4,4,-,,5,70,1,2020,Europe,36.62629,-6.362981
,0,0,,,,,,,,0,,,,,,0,,1,2020,Europe,,
PATCH CMTY CLUB,45,256,,25,3,7,4,11,5,-,55,1,2,-,,2,60,1,2020,Europe,,
KELLEY COMM CLUB,45,280,,10,-,4,1,3,1,-,19,1,1,-,,1,22,1,2020,Europe,,
GALAXY B/C,45,298,,6,2,3,1,10,2,-,24,1,1,-,,1,27,1,2020,Europe,,
STUTTGART,0,0,,41,5,14,6,24,8,-,98,3,4,-,,4,109,1,2020,Europe,48.775418,9.181759
,0,0,,,,,,,,0,,,,,,0,,1,2020,Europe,,
ENTERTAINMENT CENTER GRAF,46,413,,17,4,7,4,6,-,-,38,1,2,-,,2,43,1,2020,Europe,,
HOHENFELS B/C,46,415,,4,4,4,4,2,-,-,18,1,2,-,,2,23,1,2020,Europe,49.203278,11.849022
VILSECK B/C,46,417,,5,-,2,2,4,-,-,13,1,1,-,,1,16,1,2020,Europe,,
LANGENBRUCK CENTER,46,1858,,11,4,4,-,15,2,-,36,1,2,-,,2,41,1,2020,Europe,49.991466,8.663401
ALGIERS REC CTR,46,3145,,6,-,2,2,4,-,-,14,1,1,-,,2,18,1,2020,Europe,,
VILSECK,0,0,,43,12,19,12,31,2,-,119,5,8,-,,9,141,1,2020,Europe,,
,0,0,,,,,,,,0,,,,,,0,,1,2020,Europe,,
THE VAULT CLUB AND CASINO,47,1669,,15,4,7,-,15,2,-,43,1,3,-,,3,50,1,2020,Europe,,
KASTEL KLUB,47,1881,,9,-,5,-,2,1,-,17,1,1,-,,1,20,1,2020,Europe,,
WIESBADEN ENT CTR,47,2976,,11,4,4,1,4,2,-,26,-,-,1,,-,27,1,2020,Europe,,
ACE'S GAME ROOM,47,3108,,6,1,2,-,-,1,-,10,1,1,-,,1,13,1,2020,Europe,,
WIESBADEN,0,0,,41,9,18,1,21,6,-,96,3,5,1,,5,110,1,2020,Europe,,
,0,0,,,,,,,,0,.,,,,,,,,,,,
YOKOSUKA B/C,18,3146,,8,4,3,-,6,1,-,22,1,1,-,,2,26,1,2020,Japan,35.281341,139.6722
CLUB ALLIANCE,18,3147,,11,5,2,1,8,2,-,29,1,1,-,,2,33,1,2020,Japan,,
CPO CLUB,18,3148,,7,-,3,-,1,1,-,12,1,1,-,,2,16,1,2020,Japan,,
TAKEMIYA CLUB,18,3149,,3,-,-,1,1,1,-,6,1,1,-,,2,10,1,2020,Japan,,
OFFICERS CLUB,18,3150,,6,-,2,2,1,2,-,13,1,1,-,,2,17,1,2020,Japan,,
SEASIDE CLUB,18,3151,,7,8,4,2,10,1,-,32,1,1,-,,2,36,1,2020,Japan,,
YOKOSUKA,0,0,,42,17,14,6,27,8,-,114,6,6,-,,12,138,1,2020,Japan,35.281341,139.6722
,0,0,,,,,,,,0,,,,,,0,,1,2020,Japan,,
,0,0,,,,,,,,0,,,,,,0,,1,2020,Japan,,
HARBOR VIEW CLUB,19,3096,,7,6,3,5,5,1,-,27,1,1,-,,2,31,1,2020,Japan,,
HARIO,19,3097,,3,6,2,3,-,1,-,15,1,1,-,,2,19,1,2020,Japan,,
GALAXIES,19,3098,,8,6,8,-,4,3,-,29,1,1,-,,2,33,1,2020,Japan,,
SASEBO,0,0,,18,18,13,8,9,5,-,71,3,3,-,,6,83,1,2020,Japan,33.179915,129.71511
,0,0,,,,,,,,0,,,,,,0,,1,2020,Japan,,
"COMM CLUB, CP ZAMA",22,883,,9,5,5,2,6,2,-,29,1,1,-,,1,32,1,2020,Japan,35.488587,139.40767
SHA CLUB,22,885,,4,-,1,2,-,-,-,7,1,1,-,,1,10,1,2020,Japan,,
"BOWLING CTR, CP ZAMA",22,886,,10,-,4,1,-,-,-,15,1,1,-,,1,18,1,2020,Japan,35.488587,139.40767
ROAD HOUSE,22,1127,,7,-,-,-,-,-,-,7,1,1,-,,1,10,1,2020,Japan,,
SANNO HOTEL,22,2664,,12,6,4,2,8,-,-,32,1,1,-,,2,36,1,2020,Japan,,
CORNER POCKET,22,3078,,9,-,2,2,4,-,-,17,1,1,-,,1,20,1,2020,Japan,,
CLUB TRILOGY,22,3079,,10,6,2,4,6,-,-,28,1,1,-,,2,32,1,2020,Japan,,
ZAMA,0,0,,61,17,18,13,24,2,-,135,7,7,-,,9,158,1,2020,Japan,35.488587,139.40767
,0,0,,,,,,,,0,,,,,,0,,1,2020,Japan,,
HAVANA'S,26,967,,1,-,1,2,1,1,-,6,1,1,-,,1,9,1,2020,Japan,,
HASHMARKS,26,1105,,6,-,6,4,4,-,-,20,1,1,-,,1,23,1,2020,Japan,,
COURTNEY B/C,26,1107,,3,-,6,2,2,2,-,15,1,1,-,,2,19,1,2020,Japan,,
TAIYO GOLF COURSE,26,1109,,21,6,10,-,12,4,-,53,1,2,-,,2,58,1,2020,Japan,,
BUTLER B/C,26,1111,,4,4,9,1,4,2,3,27,1,1,-,,2,31,1,2020,Japan,,
OCEAN BREEZE,26,1114,,29,24,18,6,15,3,-,95,1,3,-,,2,101,1,2020,Japan,,
SURFSIDE,26,1122,,6,-,4,2,6,-,-,18,1,1,-,,2,22,1,2020,Japan,,
PALMS,26,2238,,16,8,7,4,9,2,-,46,1,2,-,,2,51,1,2020,Japan,,
WEST PAC LODGE,26,2317,,8,-,4,2,2,-,-,16,1,1,-,,1,19,1,2020,Japan,,
BEACH HEAD,26,2394,,3,-,4,3,-,-,-,10,1,1,-,,2,14,1,2020,Japan,,
CROW'S NEST,26,2523,,6,4,4,2,4,-,-,20,1,1,-,,2,24,1,2020,Japan,,
PORT CALL,26,2525,,2,-,2,2,-,3,-,9,1,1,-,,2,13,1,2020,Japan,,
