,22-Oct,22-Nov,22-Dec,23-Jan,23-Feb,23-Mar,23-Apr,23-May,23-Jun,23-Jul,23-Aug,23-Sep
,,,,,,,,,,,,
Slot Revenue,,,,,,,,,,,,
Singapore,,,,,,,,,,,,
Terror Club,"2,430",769,"4,977","5,208","5,274","7,036","8,593","2,953","8,199","3,873","2,607","1,465"
Camp Humphreys,,,,,,,,,,,,
Cave,"269,190","208,010","269,300","175,388","196,019","324,252","278,007","228,010","526,894","290,176","510,617","261,897"
Flighline Tap Room,"46,984","56,981","16,485","40,753","50,732","74,885","9,720",0,0,0,0,0
Morning Calm,"612,376","870,264","695,426","700,790","599,043","723,365","652,248","731,589","651,102","517,478","762,572","726,495"
Humphreys B/C,"38,808","32,198","22,064","15,196","40,563","32,213","35,056","39,805","32,666","29,150","27,356","35,677"
Seoul,,,,,,,,,,,,
K-16 Community Club,"23,449","16,265","9,050","15,116","11,952","22,620","24,405","16,597","23,042","19,409","12,939","6,020"
AFRC Dragon Hill Lodge,,,,,,,,,,,,
Dragon Hill Lodge,"293,859","496,178","376,137","562,130","429,464","244,861","459,686","699,039","298,337","322,195","379,928","531,194"
Navy Seoul,,,,,,,,,,,,
Daegu,,,,,,,,,,,,
El Guerrero,"15,913","42,654","27,315","78,161","65,102","34,584","59,428","132,493","61,711","42,459","62,336","53,026"
Evergreen,0,0,0,0,0,0,0,0,0,0,0,"2,400"
State's Grill,"23,065",0,0,0,0,0,0,0,0,0,"1,213","3,894"
Perimeter Pub,"54,064","46,254","22,184","42,000","60,234","12,275","47,462","48,211","33,589","24,101","81,536","18,651"
Hilltop,"90,708","78,736","68,055","74,308","22,090","139,117","47,442","-40,893","120,631","-34,660","43,777","50,410"
Windy City Bowl & Grill,"58,355","52,467","38,984","35,120","17,179","30,626","52,040","31,983","14,884","-3,963","31,320",0
Navy Pusan,,,,,,,,,,,,
Turtle Cove,"41,100","22,418","2,179","55,896","30,056","14,360","26,022","15,802","34,424","4,844","28,714","33,644"
Casey / Hovey,,,,,,,,,,,,
Casey Bowl,"41,813","59,912","29,315","13,547","21,422","41,661","27,413","26,104","40,653","25,247","34,002","16,644"
Casey Lodging,"46,777","76,344","62,621","100,645","45,909","70,465","35,598","43,441","45,894","20,735","102,217","30,723"
Gateway Club,"30,867","59,880","53,692","27,244","50,238","53,006","58,243","121,143","74,182","99,803","119,167","76,560"
Warrior's,"24,601","32,657","39,108","12,502","13,285","23,514","10,046","20,141","33,650","20,635","33,223","22,755"
Uijongbu Corridor,,,,,,,,,,,,
,,,,,,,,,,,,
Total Korea Slot Revenue,"1,714,359","2,151,987","1,736,892","1,954,004","1,658,562","1,848,840","1,831,409","2,116,418","1,999,858","1,381,482","2,233,524","1,871,455"
Iwakuni USMC,,,,,,,,,,,,
Iwakuni Club,"50,272","63,377","37,023","51,363","107,978","56,051","41,019","145,918","78,271","151,995","8,065","-18,656"
Torii Pines TLF,"104,925","121,302","44,616","31,186","89,856","152,213","88,803","138,762","29,184","47,938","149,275","125,082"
Camp Butler / Foster,,,,,,,,,,,,
Butler Bowl,"67,766","79,033","26,847","100,179","98,157","87,648","103,039","103,031","62,512","57,724","99,478","86,167"
Ocean Breeze,"476,046","294,205","451,725","435,969","479,553","398,634","427,479","427,275","433,710","504,940","178,770","497,995"
Taiyo Golf Course,"105,830","283,706","248,954","337,772","284,428","243,848","176,267","358,690","253,640","104,019","29,677","255,328"
Whispers,"93,707","127,730","14,020","97,532","44,948","115,063","78,890","126,218","58,892","54,668","61,672","47,852"
Camp Courtney,,,,,,,,,,,,
Courtney Bowl,"20,478","23,375","15,197","15,436","15,885","23,800","27,587","13,993","8,372","5,654","31,639","3,592"
Hashmarks,"2,261","5,555","2,248","2,440","8,118","3,305",0,0,0,0,0,-7
Camp Futenma,,,,,,,,,,,,
,22-Oct,22-Nov,22-Dec,23-Jan,23-Feb,23-Mar,23-Apr,23-May,23-Jun,23-Jul,23-Aug,23-Sep
,,,,,,,,,,,,
Camp Hansen TLF,"6,622","6,082","3,958","1,697","1,799","2,459",0,0,0,0,0,-13
Palms,"26,914","47,142","54,038","78,315","67,411","46,355","56,772","38,120","59,882","54,310","97,528","53,992"
Camp Kinser,,,,,,,,,,,,
Surfside,"28,674","21,355","26,705","14,376","22,569","43,639","33,285","36,466","27,941","30,102","39,266","22,896"
Camp Schwab,,,,,,,,,,,,
Beach Head,"10,152","26,187","27,189","9,599","10,027","20,104","12,174","16,166","24,624","15,317","8,337",299
Torii Station,,,,,,,,,,,,
Havana's,"6,007","8,339","8,491","10,556","7,523","3,577","7,168","11,262","9,347","1,868","4,691",6
Navy Japan,,,,,,,,,,,,
Crow's Nest,"25,609","37,563","29,680","19,574","13,091","37,578","32,311","51,418","13,815","15,066","31,871","2,714"
Port Call,572,"-1,791","4,505","1,442","1,722","2,700","2,967","17,647","8,168",598,"4,164","1,563"
Camp Fuji,,,,,,,,,,,,
Road House,"4,005","1,719","1,494","2,687","3,070","-3,178","3,844","4,269","3,749","3,410","3,694","6,828"
Camp Zama,,,,,,,,,,,,
SHA Club,"5,003","4,779","4,229","3,841","3,197",193,"8,844","3,201","5,662","1,936","5,181",-18
Zama Bowl,0,"1,293","4,584","11,556","10,111","2,061","9,969","2,534","11,174","20,598","10,618","2,834"
Zama Community Club,"106,296","110,921","96,166","61,734","30,006","84,388","89,450","93,340","100,300","75,143","131,867","108,468"
Zama Golf Course,"8,964","6,928","7,003","7,949","7,608","13,866","15,351","-26,343","51,064","11,506","2,571","15,572"
Navy Sanno Hotel,,,,,,,,,,,,
Sanno Hotel,"57,092","116,184","67,331","138,280","58,779","45,382","54,323","144,654","65,411","51,426","114,844","84,339"
Corner Pocket,"14,945","7,218","13,260","17,208","-16,406","16,406",0,"1,173","17,401","10,307","27,189","31,244"
Club Trilogy,"74,341","23,940","46,668","32,502","140,992","191,499","111,709","73,402","134,900","62,811","134,672","68,904"
Sasebo,,,,,,,,,,,,
Harbor View Club,"46,716","111,397","54,239","90,666","51,342","34,080","128,358","106,713","60,323","51,054","115,784","44,396"
Hario,"14,206","19,170","9,743","5,019","25,955","39,906","28,107","30,962","11,740","30,645","39,289","20,020"
Galaxies,"69,935","84,400","91,234","76,475","77,779","68,877","67,580","120,717","76,877","44,537","117,362","111,352"
Yokosuka,,,,,,,,,,,,
Yokosuka B/C,"93,003","29,490","83,790","67,773","90,352","79,083","42,543","6,894","71,681","72,257","79,454","124,007"
Club Alliance,"156,684","158,465","119,104","136,506","138,942","264,314","245,317","195,900","-3,397","103,812","158,718","98,819"
CPO Club,"29,547","21,545","15,292","35,624","26,729","-1,264","43,615","69,376","31,572","21,261","34,720","10,409"
Takemiya Club,"7,423","1,737",795,"4,040","8,039","20,729","17,477","4,627","12,591","10,819","11,906","9,145"
Officers Club,"45,820","25,516","36,170","6,001","41,804","59,541","31,518","45,463","34,473","54,175","46,542","19,565"
SeaSide Club,"1,783","114,223","107,976","285,951","175,990","189,006","109,818","114,004","182,281","112,788","148,049","120,920"
,,,,,,,,,,,,
