F&A Name,Loc#,AS400 Name,YTD Avg,201910,201911,201912,202001,202002,202003,202004,202005,202006,202007,202008,202009,Begin FY,End YTD,Chg #,Chg %,,,
Ace's Game Room,3108,ACE'S GAME ROOM,10,10,10,10,10,10,10,-,-,-,10,-,-,10,10,0,-,,,
Action Lanes,437,ACTION LANES,20,20,20,20,20,20,20,-,-,-,20,-,-,20,20,0,-,,,
Algiers Recreation Center,3145,ALGIERS REC CTR,14,14,14,14,14,14,14,-,-,-,-,-,-,14,14,0,-,,,
Arena Bowl,2895,THE ARENA B/C,40,39,39,41,41,41,41,-,-,-,-,-,-,39,39,0,-,,,
Beach Head,2394,BEACH HEAD,11,11,11,11,11,11,11,11,-,11,11,-,-,11,11,0,-,,,
BOQ,2890,BOQ,10,10,10,10,10,10,10,-,-,-,-,-,-,10,10,0,-,,,
Butler Bowl,1111,BUTLER B/C,27,27,27,27,27,27,27,27,-,27,27,-,-,27,27,0,-,,,
Capo Olde Town Slots,2588,CAPO OLDE TOWN SLOTS,22,22,22,22,21,22,22,-,-,-,-,-,-,22,22,0,-,,,
El Guerrero,891,El Guerrero,20,20,20,20,20,20,-,-,20,20,21,-,-,20,20,0,-,,,
Casey Bowl,819,"BOWL CTR, CP CASEY",22,22,22,22,24,24,23,21,22,22,22,-,-,22,22,0,-,,,
Casey Lodging,1940,CASEY LODGING,10,10,10,10,10,10,10,10,10,10,10,-,-,10,10,0,-,,,
Cave,3168,THE CAVE,39,40,40,39,40,41,41,41,24,41,40,-,-,40,40,0,-,,,
Club Alliance,3147,CLUB ALLIANCE,30,29,29,29,29,32,31,-,-,-,29,-,-,29,29,0,-,,,
Club Trilogy,3079,CLUB TRILOGY,28,28,28,28,28,28,28,-,-,28,30,-,-,28,28,0,-,,,
Corner Pocket,3078,CORNER POCKET,17,18,17,17,17,17,18,-,-,-,17,-,-,18,18,0,-,,,
Courtney Bowl,1107,COURTNEY B/C,15,15,15,15,15,15,15,15,-,15,15,-,-,15,15,0,-,,,
CPO Club,3148,CPO CLUB,12,12,12,12,12,12,12,-,-,-,-,-,-,12,12,0,-,,,
Crow's Nest,2523,CROW'S NEST,20,20,20,20,20,20,20,-,-,20,20,-,-,20,20,0,-,,,
Del Din C/C,3132,DEL DIN C/C,16,16,16,16,16,16,16,-,-,-,-,-,-,16,16,0,-,,,
Dragon Hill Lodge,770,DRAGON HILL LODGE,96,97,97,100,95,95,95,95,95,95,95,-,-,97,97,0,-,,,
Edelweiss Lodge & Resort,2489,EDELWEISS LODGE & RESORT,23,23,23,23,23,23,23,-,-,-,23,-,-,23,23,0,-,,,
Entertainment Center Graf.,413,ENTERTAINMENT CENTER GRAF,38,39,38,38,38,38,38,-,-,-,38,-,-,39,39,0,-,,,
Flighline Tap Room,3164,FLIGHLINE TAP ROOM,25,25,25,25,25,25,25,25,-,25,27,-,-,25,25,0,-,,,
Galaxies,3098,GALAXIES,28,28,28,28,28,28,28,-,-,-,28,-,-,28,28,0,-,,,
Galaxy Bowl,298,GALAXY B/C,24,28,24,23,24,24,24,-,-,24,24,-,-,28,28,0,-,,,
Camp Hansen TLF,797,GATEWAY CLUB,24,,,,,,,,,,,,,24,24,0,-,,,
Hansen TLF,3169,HANSEN TLF,12,12,12,12,12,12,12,12,-,-,12,-,-,12,12,0,-,,,
Harbor View Club,3096,HARBOR VIEW CLUB,27,27,27,27,27,27,27,-,-,-,27,-,-,27,27,0,-,,,
Hario,3097,HARIO,15,15,15,15,15,15,15,-,-,-,15,-,-,15,15,0,-,,,
Hashmarks,1105,HASHMARKS,20,20,20,20,20,20,20,20,-,20,-,-,-,20,20,0,-,,,
Havana's,967,HAVANA'S,6,6,6,6,6,6,6,6,-,6,6,-,-,6,6,0,-,,,
State's Grill,866,State's Grill,18,14,14,14,14,14,-,-,-,17,38,-,-,14,14,0,-,,,
La Cantina El Guerrero,869,La Cantina El Guerrero,21,21,21,21,21,21,-,-,-,21,-,-,-,21,21,0,-,,,
Hilltop,867,"HILLTOP, CP WALKER",42,40,40,40,37,46,-,-,43,47,42,-,-,40,40,0,-,,,
Hohenfels Bowl,415,HOHENFELS B/C,18,18,18,18,19,18,18,-,-,-,18,-,-,18,18,0,-,,,
Humphreys B/C,839,HUMPHREYS B/C,22,20,24,24,24,24,24,22,13,20,20,-,-,20,20,0,-,,,
Irish Pub,194,IRISH PUB,42,42,42,42,42,42,42,-,-,42,42,-,-,42,42,0,-,,,
Iwakuni Club,1137,IWAKUNI CLUB,36,36,36,36,36,36,36,36,-,36,36,-,-,36,36,0,-,,,
Jox Sports Bar,2597,JOX SPORTS BAR,20,22,19,19,19,19,19,-,-,-,-,-,-,22,22,0,-,,,
K-16 Community Club,776,"COMM CLUB, K-16",8,8,8,8,8,8,8,8,8,8,8,-,-,8,8,0,-,,,
Kastel Club,1881,KASTEL KLUB,18,19,19,17,21,17,17,-,-,-,17,-,-,19,19,0,-,,,
Kazabra,196,KAZABRA,12,12,12,12,12,12,12,-,-,-,12,-,-,12,12,0,-,,,
Kelley Community Club,280,KELLEY COMM CLUB,19,19,20,19,19,19,19,-,-,19,19,-,-,19,19,0,-,,,
La Plaza,2600,La Plaza (CHAMPIONS),29,29,29,29,29,29,29,-,-,-,29,-,-,29,29,0,-,,,
Landstuhl Consolidated Club,195,LCCC,30,30,31,30,30,30,30,-,-,-,30,-,-,30,30,0,-,,,
Langenbruck Center,1858,LANGENBRUCK CENTER,36,36,36,36,36,36,36,-,-,-,36,-,-,36,36,0,-,,,
Livorno Community Club,330,LIVORNO COMM CLUB,16,16,16,16,16,16,-,-,-,-,16,-,-,16,16,0,-,,,
Main Post Club,773,MAIN POST CLUB,22,27,27,27,19,19,13,-,-,-,-,-,-,27,27,0,-,,,
Morning Calm,3158,Morning Calm,64,70,70,70,70,70,70,42,41,69,68,-,-,70,70,0,-,,,
Naples Bowl,2591,NAPLES B/C,26,25,31,27,25,25,25,-,-,-,-,-,-,25,25,0,-,,,
Ocean Breeze,1114,OCEAN BREEZE,96,97,101,95,95,95,95,95,-,95,95,-,-,97,97,0,-,,,
Officers Club,3150,OFFICERS CLUB,13,13,13,13,13,13,13,-,-,-,-,-,-,13,13,0,-,,,
Palms,2238,Palms,46,46,46,46,46,46,46,46,-,46,46,-,-,46,46,0,-,,,
Patch Community Club,256,PATCH CMTY CLUB,56,55,56,55,56,58,55,-,-,55,55,-,-,55,55,0,-,,,
Port Call,2525,PORT CALL,9,9,9,9,9,9,9,9,-,9,9,-,-,9,9,0,-,,,
Road House,1127,ROAD HOUSE,7,7,7,7,7,7,7,-,-,-,7,-,-,7,7,0,-,,,
ROB Java Cafe,2887,ROB JAVA CAFE,12,12,12,12,12,12,9,-,-,-,12,-,-,12,12,0,-,,,
