Details,Current Balance,Month,Year,Type
Cash--Operating,"2,38,22,204.63",March,2023,Asset
Cash--Restricted,"1,54,48,852.84",March,2023,Asset
Accounts Receivable,"2,61,378.56",March,2023,Asset
Prepaid Expenses,"3,43,049.36",March,2023,Asset
Fixed Assets,"4,43,71,000.09",March,2023,Asset
Less Accum Depreciation,"3,28,83,183.68",March,2023,Asset
TOTAL ASSETS                                  ,"5,13,63,301.80",March,2023,Asset
Accounts Payable,"19,23,038.16",March,2023,Liability
Distributions Payable,"17,10,797.93",March,2023,Liability
Accrued Liabilities,"14,03,199.97",March,2023,Liability
Accrued Salaries,"5,38,023.11",March,2023,Liability
Accrued Leave Payable,"5,55,269.59",March,2023,Liability
Total Liabilities,"61,30,328.76",March,2023,Liability
EQUITY,"4,52,32,973.04",March,2023,Liability
TOTAL LIABILITIES & EQUITY,"5,13,63,301.80",March,2023,Liability
Cash,"2,82,41,642.00",January,2020,Asset
Accounts Receivable,"1,57,152.59",January,2020,Asset
Prepaid Expenses,"3,77,506.31",January,2020,Asset
Fixed Assets,"4,53,31,635.43",January,2020,Asset
Less Accum Depreciation,"-2,97,04,609.76",January,2020,Asset
TOTAL ASSETS,"4,44,03,326.57",January,2020,Asset
Accounts Payable,"8,33,576.04",January,2020,Liability
Distributions Payable,"14,32,593.11",January,2020,Liability
Accrued Liabilities,"13,61,793.76",January,2020,Liability
Accrued Salaries,"3,70,138.33",January,2020,Liability
Accrued Leave Payable,"4,89,740.50",January,2020,Liability
Total Liabilities,"44,87,841.74",January,2020,Liability
EQUITY,"3,99,15,484.83",January,2020,Liability
TOTAL LIABILITIES & EQUITY,"4,44,03,326.57",January,2020,Liability
Cash,"3,12,12,799.45",January,2021,Asset
Accounts Receivable,"2,44,243.99",January,2021,Asset
Prepaid Expenses,"3,15,417.74",January,2021,Asset
Fixed Assets,"4,49,72,216.09",January,2021,Asset
Less Accum Depreciation,"3,18,04,417.44",January,2021,Asset
TOTAL ASSETS,"4,49,40,259.83",January,2021,Asset
Accounts Payable,"5,14,682.25",January,2021,Liability
Accrued Liabilities,"14,60,833.88",January,2021,Liability
Accrued Salaries,"3,75,743.30",January,2021,Liability
Accrued Leave Payable,"5,19,467.32",January,2021,Liability
Total Liabilities,"28,70,726.75",January,2021,Liability
TOTAL LIABILITIES & EQUITY,"4,20,69,533.08",January,2021,Liability
Cash,"3,93,39,454.24",January,2022,Asset
Accounts Receivable,"2,32,942.98",January,2022,Asset
Prepaid Expenses,"4,15,342.13",January,2022,Asset
Fixed Assets,"4,29,12,855.73",January,2022,Asset
Less Accum Depreciation,"-3,38,35,659.16",January,2022,Asset
TOTAL ASSETS,"49,064,935.92
",January,2022,Asset
Accounts Payable,"5,76,746.14",January,2022,Liability
Distributions Payable,"6,56,113.82",January,2022,Liability
Accrued Liabilities,"16,45,371.31",January,2022,Liability
Accrued Salaries,"4,33,439.15",January,2022,Liability
Accrued Leave Payable,"5,20,292.46",January,2022,Liability
Total Liabilities,"38,31,962.88",January,2022,Liability
EQUITY,"4,52,32,973.04",January,2022,Liability
TOTAL LIABILITIES & EQUITY,"4,90,64,935.92",January,2022,Liability
Cash--Operating,"2,35,36,831.76",January,2023,Asset
Cash--Restricted,"1,72,19,096.52",January,2023,Asset
Accounts Receivable,"2,37,956.49",January,2023,Asset
Prepaid Expenses,"4,28,773.89",January,2023,Asset
Fixed Assets,"4,40,64,006.18",January,2023,Asset
Less Accum Depreciation,"-3,40,54,098.56",January,2023,Asset
TOTAL ASSETS,"5,14,32,566.28",January,2023,Asset
Accounts Payable,"19,55,304.52",January,2023,Liability
Distributions Payable,"20,13,628.95",January,2023,Liability
Accrued Liabilities,"12,76,419.09",January,2023,Liability
Accrued Salaries,"4,43,377.67",January,2023,Liability
Accrued Leave Payable,"5,10,863.01",January,2023,Liability
Total Liabilities,"61,99,593.24",January,2023,Liability
EQUITY,"4,52,32,973.04",January,2023,Liability
TOTAL LIABILITIES & EQUITY,"5,14,32,566.28",January,2023,Liability
Accounts Payable,"33,84,537.65",January,2024,Liability
Distributions Payable,"23,36,234.21",January,2024,Liability
Accrued Liabilities,"16,13,579.03",January,2024,Liability
Accrued Salaries,"4,98,303.85",January,2024,Liability
Accrued Leave Payable,"5,51,251.34",January,2024,Liability
Total Liabilities,"83,83,906.08",January,2024,Liability
EQUITY,"4,52,32,973.04",January,2024,Liability
TOTAL LIABILITIES & EQUITY,"5,36,16,879.12",January,2024,Liability
Cash,"2,86,12,436.38",February,2020,Asset
Accounts Receivable,"1,36,046.36",February,2020,Asset
Prepaid Expenses,"3,49,426.24",February,2020,Asset
Fixed Assets,"4,48,30,490.70",February,2020,Asset
Less Accum Depreciation,"-2,95,97,789.92",February,2020,Asset
TOTAL ASSETS,"4,43,30,609.76",February,2020,Asset
Accounts Payable,"5,06,803.88",February,2020,Liability
Distributions Payable,"12,86,519.03",February,2020,Liability
Accrued Liabilities,"13,94,580.85",February,2020,Liability
Accrued Salaries,"3,71,144.44",February,2020,Liability
Accrued Leave Payable,"5,03,212.35",February,2020,Liability
Total Liabilities,"40,62,260.55",February,2020,Liability
EQUITY,"4,02,68,349.21",February,2020,Liability
TOTAL LIABILITIES & EQUITY,"4,43,30,609.76",February,2020,Liability
Cash,"3,21,28,305.70",February,2021,Asset
Accounts Receivable,"1,51,942.37",February,2021,Asset
Prepaid Expenses,"4,38,296.59",February,2021,Asset
Fixed Assets,"4,47,10,134.56",February,2021,Asset
Less Accum Depreciation,"-3,19,11,242.96",February,2021,Asset
TOTAL ASSETS,"4,55,17,436.26",February,2021,Asset
Accounts Payable,"4,23,974.89",February,2021,Liability
Distributions Payable,"3,14,805.03",February,2021,Liability
Accrued Liabilities,"14,17,426.72",February,2021,Liability
Accrued Salaries,"3,76,670.26",February,2021,Liability
Accrued Leave Payable,"5,43,307.94",February,2021,Liability
Total Liabilities,"30,76,184.84",February,2021,Liability
EQUITY,"4,24,41,251.42",February,2021,Liability
TOTAL LIABILITIES & EQUITY,"4,55,17,436.26",February,2021,Liability
Cash,"4,05,43,679.19",February,2022,Asset
Accounts Receivable,"2,23,165.07",February,2022,Asset
Prepaid Expenses,"3,85,184.63",February,2022,Asset
Fixed Assets,"4,25,60,675.20",February,2022,Asset
Less Accum Depreciation,"-3,37,99,424.29",February,2022,Asset
TOTAL ASSETS,"4,99,13,279.80",February,2022,Asset
Accounts Payable,"4,04,983.90",February,2022,Liability
Distributions Payable,"13,75,062.74",February,2022,Liability
Accrued Liabilities,"19,62,390.27",February,2022,Liability
