,Locations,March Europe,March Korea,March Japan,"YTD
Europe","YTD
Korea","YTD
Japan",Month,Year,latitude,longitude
0,Kaiserslautern,"4,35,381.00",0.00,0.00,"17,69,195.35",0.00,0.00,March,2023,,
1,Grafenwoehr,"1,48,145.60",0.00,0.00,"8,27,100.45",0.00,0.00,March,2023,,
2,Wiesbaden,"2,65,851.45",0.00,0.00,"13,76,947.40",0.00,0.00,March,2023,,
3,Vicenza,"91,264.15",0.00,0.00,"4,85,232.45",0.00,0.00,March,2023,45.545479,11.535421
4,Livorno,"9,019.10",0.00,0.00,"73,555.45",0.00,0.00,March,2023,43.548473,10.310567
5,Stuttgart,"2,00,290.70",0.00,0.00,"12,11,060.55",0.00,0.00,March,2023,48.775418,9.181759
6,Baumholder,"1,09,101.65",0.00,0.00,"3,36,264.45",0.00,0.00,March,2023,49.613889,7.333333
7,Ansbach,"85,468.60",0.00,0.00,"4,22,486.30",0.00,0.00,March,2023,49.300425,10.571936
8,Brunssum,"5,826.20",0.00,0.00,"59,797.95",0.00,0.00,March,2023,50.948896,5.972166
9,AFRC Edelweiss Lodge,"45,863.15",0.00,0.00,"1,07,107.80",0.00,0.00,March,2023,,
10,Hohenfels,"35,674.70",0.00,0.00,"1,99,835.95",0.00,0.00,March,2023,49.203278,11.849022
11,Naples Navy,"84,218.45",0.00,0.00,"6,19,765.20",0.00,0.00,March,2023,,
12,Sigonella Navy,"1,14,353.25",0.00,0.00,"3,90,404.05",0.00,0.00,March,2023,,
13,Rota Navy,"1,19,117.35",0.00,0.00,"4,80,521.20",0.00,0.00,March,2023,,
14,Souda Bay Navy,"8,408.20",0.00,0.00,"56,128.95",0.00,0.00,March,2023,,
15,AFRC Dragon Hill Lodge,0.00,"2,44,860.65",0.00,0.00,"24,02,628.65",0.00,March,2023,,
16,Seoul,0.00,"22,619.65",0.00,0.00,"98,450.90",0.00,March,2023,37.566535,126.97797
17,Casey & Hovey,0.00,"1,88,646.35",0.00,0.00,"10,31,024.40",0.00,March,2023,,
18,Uijongbu,0.00,0.00,0.00,0.00,0.00,0.00,March,2023,,
19,Camp Humphreys,0.00,"11,54,714.25",0.00,0.00,"61,11,283.60",0.00,March,2023,,
20,Daegu,0.00,"2,16,601.45",0.00,0.00,"12,29,546.55",0.00,March,2023,,
21,Chinhae Navy,0.00,"14,360.20",0.00,0.00,"1,66,008.65",0.00,March,2023,,
22,Camp Mujuk Marines,0.00,0.00,0.00,0.00,0.00,0.00,March,2023,,
23,Camp Zama,0.00,0.00,"1,00,506.80",0.00,0.00,"5,92,675.50",March,2023,,
24,Fuji Marines,0.00,0.00,"-3,177.50",0.00,0.00,"9,797.00",March,2023,,
25,Sanno Navy,0.00,0.00,"45,381.80",0.00,0.00,"4,83,047.00",March,2023,,
26,Atsugi Navy,0.00,0.00,"2,07,904.65",0.00,0.00,"5,62,572.70",March,2023,,
27,Okinawa,0.00,0.00,"3,576.80",0.00,0.00,"44,491.40",March,2023,26.212401,127.68093
