,Country, Installation, FY16, FY17, FY18, FY19, FY20, FY21, FY22, FY23,Annualized FY23,FY24 thru APR,FY24 thru OCT,Annualized FY24,Category,latitude,longitude
0,Korea,Camp Mujuk,,,5817.7,1468.85,,,,,,,,,Slot,,
1,Japan,Camp Fuji,68243.23,113431.99,54469.5,45665.05,13839.25,27515.5,28033.95,35591.48,427097.76,23310.35,180176.05,39960.6,Slot,35.3556,138.8597
2,Japan,Camp Schwab,154936.6,223834.25,140962.75,169753.45,79242.5,110818.55,159744.85,180176.05,2162112.6,99198.75,147057.3,170055.0,Slot,,
3,Japan,Camp Hansen,678984.45,706683.1,722902.15,826043.85,615080.7,539340.65,630048.55,703382.65,8440591.8,424206.9,703382.65,727211.83,Slot,,
4,Japan,Camp Courtney,903179.75,695311.4,789379.35,634674.05,376878.7,320473.45,189968.7,228926.75,2747121.0,175644.75,228926.75,301105.29,Slot,,
5,Japan,Camp Butler/Foster,11200569.06,10852432.03,11064715.0,11080379.15,7668835.6,9251639.7,9566203.0,9581233.77,114974805.24,5951443.97,9581233.77,10202475.38,Slot,,
6,Japan,Camp Futenma,6616.05,,,,,,,,,,,,Slot,,
7,Japan,Camp Kinser,425943.0,368951.25,490115.1,485449.55,368815.75,519750.6,351221.55,347272.5,4167270.0,308427.7,347272.5,528733.2,Slot,,
8,Japan,Iwakuni,1376559.22,1413788.96,1956272.75,2597881.95,1914320.15,2099007.5,2091278.35,1895816.87,22749802.44,1178265.2,1895816.87,2019883.2,Slot,34.166562,132.21885
9,Korea,Camp Mujuk,,,4654.15,1175.08,,,,,,,,,NAFI,,
10,Japan,Camp Fuji,60598.3,84892.65,43575.6,37638.8,11071.4,22012.4,22427.15,28470.75,341649.0,18731.8,147057.3,132111.66,NAFI,35.3556,138.8597
11,Japan,Camp Schwab,123949.3,179067.4,112770.2,135802.75,63393.95,88654.85,127795.9,147057.3,1764687.6,76884.05,147057.3,131801.23,NAFI,,
12,Japan,Camp Hansen,544296.05,565346.55,578321.7,663737.3,489162.4,431472.5,504038.9,566501.14,6798013.68,338792.6,566501.14,580787.31,NAFI,,
13,Japan,Camp Courtney,721435.3,556249.0,631503.4,513016.25,296226.05,256378.75,151974.9,198318.9,2379826.8,126095.6,198318.9,216163.89,NAFI,,
14,Japan,Camp Butler/Foster,8959159.45,8656807.7,8887250.1,8863625.45,6123243.43,7406466.0,7642358.8,7736141.85,92833702.2,4739362.0,7736141.85,8124620.57,NAFI,,
15,Japan,Camp Futenma,5292.85,,,,,,,,,,,,NAFI,,
16,Japan,Camp Kinser,340754.45,295161.0,392091.95,400219.15,283193.05,415800.5,280977.2,278455.3,3341463.6,247720.55,278455.3,424663.8,NAFI,,
17,Japan,Iwakuni,1102243.85,1158457.35,1536764.85,2087044.85,1520565.35,1679205.8,1690229.75,1531636.9,18379642.8,952164.2,1531636.9,1632281.49,NAFI,34.166562,132.21885
