,Loc #,Location,Month,Revenue,NAFI Amt,Annual Revenue,Annual NAFI,Year,latitude,longitude
0,3163,Camp Mujuk Center,Oct-17,844.00,675.20,,,2020,,
1,3163,Camp Mujuk Center,Nov-17,1048.00,838.40,,,2020,,
2,3163,Camp Mujuk Center,Dec-17,700.00,560.00,,,2020,,
3,3163,Camp Mujuk Center,Jan-18,32.00,25.60,,,2020,,
4,3163,Camp Mujuk Center,Feb-18,238.95,191.15,,,2020,,
5,3163,Camp Mujuk Center,Mar-18,1492.00,1193.60,,,2020,,
6,3163,Camp Mujuk Center,Apr-18,,,,,2020,,
7,3163,Camp Mujuk Center,May-18,788.75,631.00,,,2020,,
8,3163,Camp Mujuk Center,Jun-18,345.00,276.00,,,2020,,
9,3163,Camp Mujuk Center,Jul-18,,,,,2020,,
10,3163,Camp Mujuk Center,Aug-18,,,,,2020,,
11,3163,Camp Mujuk Center,Sep-18,329.00,263.20,5817.70,4654.15,2020,,
12,3163,Camp Mujuk Center,Oct-18,10.00,8.00,,,2020,,
13,3163,Camp Mujuk Center,Nov-18,343.00,274.40,,,2020,,
14,3163,Camp Mujuk Center,Dec-18,836.00,668.80,,,2020,,
15,3163,Camp Mujuk Center,Jan-19,,,, ,2020,,
16,3163,Camp Mujuk Center,Feb-19,,,, ,2020,,
17,3163,Camp Mujuk Center,Mar-19,,,,,2020,,
18,3163,Camp Mujuk Center,Apr-19,,,, ,2020,,
19,3163,Camp Mujuk Center,May-19,,,,,2020,,
20,3163,Camp Mujuk Center,Jun-19,,,,,2020,,
21,3163,Camp Mujuk Center,Jul-19,,,,,2020,,
22,3163,Camp Mujuk Center,Aug-19,,,,,2020,,
23,3163,Camp Mujuk Center,Sep-19,,,1468.85,1175.08,2020,,
24,3163,Camp Mujuk Center,Oct-19,,,,,2020,,
25,3163,Camp Mujuk Center,,,,,,2020,,
26,1127,Road House,May-15,,,,,2020,,
27,1127,Road House,Jun-15,,,,,2020,,
28,1127,Road House,Jul-15,,,,,2020,,
29,1127,Road House,Aug-15,,,,,2020,,
30,1127,Road House,Sep-15,2499.75,1999.80,2499.75,1999.80,2020,,
31,1127,Road House,Oct-15,664.48,758.40,,,2020,,
32,1127,Road House,Nov-15,2375.49,2091.80,,,2020,,
33,1127,Road House,Dec-15,1066.00,852.80,,,2020,,
34,1127,Road House,Jan-16,2293.64,875.20,,,2020,,
35,1127,Road House,Feb-16,10358.82,7571.85,,,2020,,
36,1127,Road House,Mar-16,14303.32,11041.60,,,2020,,
37,1127,Road House,Apr-16,"3,961.36","3,276.00",,,2020,,
38,1127,Road House,May-16,"4,516.04","4,191.20",,,2020,,
39,1127,Road House,Jun-16,"17,113.31","16,008.40",,,2020,,
40,1127,Road House,Jul-16,"6,176.65","3,540.00",,,2020,,
41,1127,Road House,Aug-16,"6,291.27","4,649.60",,,2020,,
42,1127,Road House,Sep-16,"3,710.13","5,741.45","68,243.23","60,598.30",2020,,
43,1127,Road House,Nov-16,"2,851.92","2,982.75",,,2020,,
44,1127,Road House,Dec-16,"11,259.97","7,028.95",,,2020,,
45,1127,Road House,Jan-17,"8,183.80","6,547.05",,,2020,,
46,1127,Road House,Feb-17,"3,458.07","1,968.00",,,2020,,
47,1127,Road House,Mar-17,"16,111.58","12,285.50",,,2020,,
48,1127,Road House,Apr-17,"13,435.79","11,106.80",,,2020,,
49,1127,Road House,May-17,"10,766.57","8,229.60",,,2020,,
50,1127,Road House,Jun-17,"2,589.50","2,071.60",,,2020,,
51,1127,Road House,Jul-17,"7,855.00","6,284.00",,,2020,,
52,1127,Road House,Aug-17,"11,401.90","9,121.50",,,2020,,
53,1127,Road House,Sep-17,"8,676.80","6,941.45","1,13,431.99","84,892.65",2020,,
54,1127,Road House,Oct-17,"3,382.00","2,705.60",,,2020,,
55,1127,Road House,Nov-17,"1,130.00",904.00,,,2020,,
56,1127,Road House,Dec-17,"2,106.00","1,684.80",,,2020,,
57,1127,Road House,Jan-18,"8,289.00","6,631.20",,,2020,,
58,1127,Road House,Feb-18,"1,592.55","1,274.05",,,2020,,
59,1127,Road House,Mar-18,"1,657.00","1,325.60",,,2020,,
60,1127,Road House,Apr-18,"10,128.25","8,102.60",,,2020,,
61,1127,Road House,May-18,"6,475.00","5,180.00",,,2020,,
62,1127,Road House,Jun-18,"1,801.20","1,440.95",,,2020,,
63,1127,Road House,Jul-18,"8,469.55","6,775.65",,,2020,,
64,1127,Road House,Aug-18,"6,293.95","5,035.15",,,2020,,
65,1127,Road House,Sep-18,"3,145.00","2,516.00","54,469.50","43,575.60",2020,,
66,1127,Road House,Oct-18,"2,367.00","1,893.60",,,2020,,
67,1127,Road House,Nov-18,"3,841.35","3,073.10",,,2020,,
68,1127,Road House,Dec-18,"6,408.00","5,126.40",,,2020,,
69,1127,Road House,Jan-19,"1,372.00","1,097.60",,,2020,,
70,1127,Road House,Feb-19,"9,119.45","7,295.55",,,2020,,
