Country,Installation,FY16 ,FY17,FY18,FY19,FY20,FY21,FY22,FY23,FY24 thru APR,ANNUALIZED FY24,Type
Korea,Chin Hae,"$ 180,813.56","$ 107,702.89","$ 186,026.95","$ 178,352.10","$ 357,443.06","$ 375,058.45","$ 400,476.40","$ 309,459.42","$ 157,027.30","$ 269,189.66",Slot
Malaysia,Singapore,"21,449.75","209,637.55","222,577.00","306,888.00","33,112.95",(30.50),"59,631.00","53,384.20","23,188.45","39,751.63",Slot
Japan,Okinawa,"482,923.16","409,981.09","380,989.25","395,305.70","280,698.30","389,365.20","384,308.95","354,547.74","331,033.25","567,485.57",Slot
Japan,New Sanno Hotel,"927,183.13","866,641.41","888,156.30","902,217.90","651,836.10","367,350.55","971,662.15","998,045.17","810,238.15","1,388,979.69",Slot
Japan,Atsugi,"1,178,216.09","1,286,398.70","1,139,178.40","1,364,078.30","1,083,616.25","1,496,235.90","1,084,112.55","1,236,282.94","774,191.20","1,327,184.91",Slot
Japan,Sasebo,"1,997,906.83","1,778,821.45","2,139,203.34","1,930,593.41","1,772,062.70","2,481,868.60","2,468,529.50","2,176,953.62","1,353,122.75","2,319,639.00",Slot
Japan,Yokosuka,"3,103,960.35","3,892,849.94","4,319,686.00","4,810,613.27","3,290,195.85","4,052,650.50","5,273,958.35","5,170,637.21","3,155,148.55","5,408,826.09",Slot
Italy,Naples,"991,376.15","1,116,789.71","1,010,641.20","988,787.35","588,654.00","357,618.25","1,043,952.36","1,394,530.52","904,989.85","1,551,411.17",Slot
Italy,Sigonella,"460,034.89","401,614.40","633,632.05","619,353.05","443,036.55","545,737.90","709,716.65","729,813.55","521,716.79","894,371.64",Slot
Spain,Rota,"1,016,488.63","889,430.76","889,084.80","990,879.90","615,590.65","756,131.05","1,015,218.10","927,073.87","652,325.90","1,118,272.97",Slot
Greece,Souda Bay,"114,909.17","119,409.74","153,587.45","91,053.70","58,890.00",,"41,869.05","127,717.88","86,500.65","148,286.83",Slot
Korea,Navy Club,,,,,,,,,,,Slot
Korea,Chin Hae,"$ 123,795.80","$ 74,906.95","$ 130,218.85","$ 128,157.50","$ 247,089.30","$ 276,261.70","$ 277,002.15","$ 222,094.95","$ 104,509.70","$ 179,159.49",NAFI
Malaysia,Singapore,"15,014.80","146,746.35","155,803.95","214,821.70","23,179.05",,"41,720.35","37,650.20","16,305.40","27,952.11",NAFI
Japan,Okinawa,"387,932.90","326,327.10","302,532.15","317,370.75","226,868.40","314,512.55","323,246.40","291,592.40","271,451.00","465,344.57",NAFI
Japan,New Sanno Hotel,"741,316.35","696,355.30","703,721.60","724,738.45","517,065.95","293,880.40","785,196.45","792,149.65","644,614.40","1,105,053.26",NAFI
Japan,Atsugi,"935,369.00","1,026,505.95","909,859.05","1,091,262.75","870,871.05","1,193,010.85","867,289.85","990,602.15","622,236.30","1,066,690.80",NAFI
Japan,Sasebo,"1,604,898.75","1,427,681.65","1,712,121.55","1,558,503.75","1,401,362.40","2,001,625.95","1,986,058.70","1,789,479.55","1,070,426.35","1,835,016.60",NAFI
Japan,Yokosuka,"2,655,260.45","3,310,376.25","3,676,224.15","4,096,874.40","2,783,059.70","3,470,057.20","4,477,661.75","4,489,900.30","2,681,911.40","4,597,562.40",NAFI
Italy,Naples,"699,187.70","768,914.15","705,632.40","692,151.20","417,257.00","251,802.20","742,852.05","957,935.75","666,543.75","1,142,646.43",NAFI
Italy,Sigonella,"321,951.05","280,598.35","446,035.73","436,141.25","305,833.58","381,040.65","496,801.85","521,201.65","376,562.35","645,535.46",NAFI
Spain,Rota,"711,764.65","622,481.70","622,717.95","700,480.15","421,862.90","536,806.11","713,390.80","658,975.40","472,515.60","810,026.74",NAFI
Greece,Souda Bay,"80,447.65","83,261.65","107,511.20","63,737.60","41,223.00",,"29,308.35","88,497.30","61,335.35","105,146.31",NAFI
Korea,Navy Club,,,,,,,,,,,NAFI
