,Loc #,Region,Location,Month,Revenue,NAFI Amt,Annual Revenue,Annual NAFI,Year,latitude,longitude
0,2521,Chin Hae,Turtle Cove,Oct-08,"26,154.41","20,100.00",,,2020,,
1,2521,Chin Hae,Turtle Cove,Nov-08,"11,156.79","8,840.30",,,"2,020.00",,
2,2521,Chin Hae,Turtle Cove,Oct-12,"11,585.21","7,467.30",,,"2,020.00",,
3,2521,Chin Hae,Turtle Cove,Nov-12,"41,705.33","29,238.95",,,"2,020.00",,
4,2521,Chin Hae,Turtle Cove,Dec-12,"37,557.10","26,277.15",,,"2,020.00",,
5,2521,Chin Hae,Turtle Cove,Jan-13,"26,398.01","18,513.10",,,"2,020.00",,
6,2521,Chin Hae,Turtle Cove,Feb-13,"25,171.72","17,584.70",,,"2,020.00",,
7,2521,Chin Hae,Turtle Cove,Mar-13,"16,370.65","11,535.50",,,"2,020.00",,
8,2521,Chin Hae,Turtle Cove,Apr-13,"31,565.91","22,035.20",,,"2,020.00",,
9,2521,Chin Hae,Turtle Cove,May-13,"33,012.42","23,400.60",,,"2,020.00",,
10,2521,Chin Hae,Turtle Cove,Jun-13,"12,495.02","8,812.15",,,"2,020.00",,
11,2521,Chin Hae,Turtle Cove,Jul-13,"25,478.60","17,956.55",,,"2,020.00",,
12,2521,Chin Hae,Turtle Cove,Aug-13,"22,448.90","15,906.25",,,"2,020.00",,
13,2521,Chin Hae,Turtle Cove,Sep-13,"21,206.80","14,736.60","3,04,995.67","2,13,464.05","2,020.00",,
14,2521,Chin Hae,Turtle Cove,Oct-13,"31,275.51","21,867.60",,,"2,020.00",,
15,2521,Chin Hae,Turtle Cove,Nov-13,-,-,,,"2,020.00",,
16,2521,Chin Hae,Turtle Cove,Dec-13,-,-,,,"2,020.00",,
17,2521,Chin Hae,Turtle Cove,Jan-14,"17,955.98","12,282.95",,,"2,020.00",,
18,2521,Chin Hae,Turtle Cove,Feb-14,"18,843.24","13,255.05",,,"2,020.00",,
19,2521,Chin Hae,Turtle Cove,Mar-14,"25,703.05","17,992.15",,,"2,020.00",,
20,2521,Chin Hae,Turtle Cove,Apr-14,"45,992.30","32,194.65",,,"2,020.00",,
21,2521,Chin Hae,Turtle Cove,May-14,"25,800.71","18,128.40",,,"2,020.00",,
22,2521,Chin Hae,Turtle Cove,Jun-14,"30,054.75","22,170.25",,,"2,020.00",,
23,2521,Chin Hae,Turtle Cove,Jul-14,"23,963.52","15,658.80",,,"2,020.00",,
24,2521,Chin Hae,Turtle Cove,Aug-14,"43,927.58","32,403.95",,,"2,020.00",,
25,2521,Chin Hae,Turtle Cove,Sep-14,"23,007.04","17,128.25","2,86,523.68","2,03,082.05","2,020.00",,
26,2521,Chin Hae,Turtle Cove,Oct-14,"21,267.92","11,888.05",,,"2,020.00",,
27,2521,Chin Hae,Turtle Cove,Nov-14,"27,906.09","20,288.60",,,"2,020.00",,
28,2521,Chin Hae,Turtle Cove,Dec-14,"27,660.49","19,673.75",,,"2,020.00",,
29,2521,Chin Hae,Turtle Cove,Jan-15,"29,625.01","20,533.35",,,"2,020.00",,
30,2521,Chin Hae,Turtle Cove,Feb-15,"33,510.83","25,671.25",,,"2,020.00",,
31,2521,Chin Hae,Turtle Cove,Mar-15,"19,603.99","13,580.65",,,"2,020.00",,
32,2521,Chin Hae,Turtle Cove,Apr-15,"26,795.87","16,595.35",,,"2,020.00",,
33,2521,Chin Hae,Turtle Cove,May-15,"26,952.02","26,773.85",,,"2,020.00",,
34,2521,Chin Hae,Turtle Cove,Jun-15,"28,461.31","15,827.95",,,"2,020.00",,
35,2521,Chin Hae,Turtle Cove,Jul-15,"28,545.72","15,821.00",,,"2,020.00",,
36,2521,Chin Hae,Turtle Cove,Aug-15,"34,757.83","23,942.95",,,"2,020.00",,
37,2521,Chin Hae,Turtle Cove,Sep-15,"27,352.14","22,088.25","3,32,439.22","2,32,685.00","2,020.00",,
38,2521,Chin Hae,Turtle Cove,Oct-15,"29,013.97","18,076.45",,,"2,020.00",,
39,2521,Chin Hae,Turtle Cove,Nov-15,"26,974.22","18,261.75",,,"2,020.00",,
40,2521,Chin Hae,Turtle Cove,Dec-15,"17,696.40","12,387.50",,,"2,020.00",,
41,2521,Chin Hae,Turtle Cove,Jan-16,"10,197.72","7,349.60",,,"2,020.00",,
42,2521,Chin Hae,Turtle Cove,Feb-16,"5,202.74","7,426.25",,,"2,020.00",,
43,2521,Chin Hae,Turtle Cove,Mar-16,"26,468.97","15,106.30",,,"2,020.00",,
44,2521,Chin Hae,Turtle Cove,Apr-16,"17,728.26","12,535.45",,,"2,020.00",,
45,2521,Chin Hae,Turtle Cove,May-16,"17,846.86","11,894.70",,,"2,020.00",,
46,2521,Chin Hae,Turtle Cove,Jun-16,"7,985.03","5,467.15",,,"2,020.00",,
47,2521,Chin Hae,Turtle Cove,Jul-16,"10,026.12","9,655.25",,,"2,020.00",,
48,2521,Chin Hae,Turtle Cove,Aug-16,"8,332.69","3,301.40",,,"2,020.00",,
